"NE","NOM","DEPARTEMENT","VILLE"
1,"Event Factory",22,"BEGARD"
2,"Holai",22,"PLOUFRAGRAN"
3,"Crédit Agricole",22,"PLOUFRAGRAN"
4,"Orange",22,"LANNION"
5,"NOKIA",22,"LANNION"
6,"SAOTI",22,"LANNION"
7,"VOXYGEN",22,"PLEUMEUR-BODOU"
8,"ECO-COMPTEUR",22,"LANNION"
9,"SF2I",22,"NOUMEA"
10,"Labocéa",22,"PLOUFRAGAN"
